Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date,Month,Day,Year,Weekday
Sandwich,2.0,4.0,8.0,Digital Wallet,Takeaway,2023-07-10,7,10,2023,Monday
Cookie,4.0,1.0,4.0,Credit Card,In-store,2023-11-21,11,21,2023,Tuesday
Sandwich,4.0,4.0,16.0,Digital Wallet,Takeaway,2023-12-02,12,2,2023,Saturday
Tea,2.0,1.5,3.0,Digital Wallet,Takeaway,2023-11-25,11,25,2023,Saturday
Coffee,3.0,2.0,6.0,Digital Wallet,In-store,2023-04-17,4,17,2023,Monday
Cookie,3.0,1.0,3.0,Digital Wallet,In-store,2023-03-13,3,13,2023,Monday
Cake,3.0,3.0,9.0,Digital Wallet,In-store,2023-08-12,8,12,2023,Saturday
Cookie,3.0,1.0,3.0,Digital Wallet,In-store,2023-02-16,2,16,2023,Thursday
Salad,5.0,5.0,25.0,Digital Wallet,In-store,2023-09-23,9,23,2023,Saturday
Smoothie,4.0,4.0,16.0,Digital Wallet,Takeaway,2023-04-11,4,11,2023,Tuesday
Smoothie,5.0,4.0,20.0,Credit Card,In-store,2023-03-13,3,13,2023,Monday
Sandwich,1.0,4.0,4.0,Digital Wallet,Takeaway,2023-11-07,11,7,2023,Tuesday
Smoothie,3.0,4.0,12.0,Digital Wallet,Takeaway,2023-03-26,3,26,2023,Sunday
Cake,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-11-01,11,1,2023,Wednesday
Salad,1.0,5.0,5.0,Cash,Takeaway,2023-07-22,7,22,2023,Saturday
Smoothie,1.0,4.0,4.0,Digital Wallet,Takeaway,2023-11-03,11,3,2023,Friday
Cake,3.0,3.0,9.0,Cash,In-store,2023-09-14,9,14,2023,Thursday
Smoothie,2.0,4.0,8.0,Digital Wallet,Takeaway,2023-07-26,7,26,2023,Wednesday
Smoothie,5.0,4.0,20.0,Credit Card,In-store,2023-02-28,2,28,2023,Tuesday
Coffee,4.0,2.0,8.0,Digital Wallet,In-store,2023-01-27,1,27,2023,Friday
Cookie,3.0,1.0,3.0,Digital Wallet,Takeaway,2023-12-06,12,6,2023,Wednesday
Cake,5.0,3.0,15.0,Cash,Takeaway,2023-01-19,1,19,2023,Thursday
Smoothie,1.0,4.0,4.0,Digital Wallet,Takeaway,2023-02-20,2,20,2023,Monday
Juice,4.0,3.0,12.0,Cash,In-store,2023-04-07,4,7,2023,Friday
Smoothie,2.0,4.0,8.0,Digital Wallet,In-store,2023-03-20,3,20,2023,Monday
Cookie,3.0,1.0,3.0,Cash,Takeaway,2023-02-16,2,16,2023,Thursday
Cookie,4.0,1.0,4.0,Digital Wallet,In-store,2023-12-27,12,27,2023,Wednesday
Tea,2.0,1.5,3.0,Cash,In-store,2023-10-26,10,26,2023,Thursday
Cake,5.0,3.0,15.0,Credit Card,Takeaway,2023-02-18,2,18,2023,Saturday
Juice,4.0,3.0,12.0,Digital Wallet,Takeaway,2023-04-11,4,11,2023,Tuesday
Juice,3.0,3.0,9.0,Credit Card,Takeaway,2023-05-15,5,15,2023,Monday
Coffee,2.0,2.0,4.0,Credit Card,Takeaway,2023-12-10,12,10,2023,Sunday
Cake,2.0,3.0,6.0,Credit Card,Takeaway,2023-08-15,8,15,2023,Tuesday
Smoothie,1.0,4.0,4.0,Digital Wallet,In-store,2023-04-21,4,21,2023,Friday
Juice,3.0,3.0,9.0,Credit Card,Takeaway,2023-10-28,10,28,2023,Saturday
Coffee,3.0,2.0,6.0,Cash,Takeaway,2023-02-04,2,4,2023,Saturday
Cookie,1.0,1.0,1.0,Digital Wallet,In-store,2023-04-15,4,15,2023,Saturday
Smoothie,1.0,4.0,4.0,Digital Wallet,In-store,2023-11-12,11,12,2023,Sunday
Tea,5.0,1.5,7.5,Digital Wallet,Takeaway,2023-08-05,8,5,2023,Saturday
Smoothie,3.0,4.0,12.0,Credit Card,In-store,2023-05-10,5,10,2023,Wednesday
Smoothie,5.0,4.0,20.0,Digital Wallet,In-store,2023-07-15,7,15,2023,Saturday
Salad,3.0,5.0,15.0,Digital Wallet,Takeaway,2023-11-15,11,15,2023,Wednesday
Salad,3.0,5.0,15.0,Credit Card,Takeaway,2023-01-11,1,11,2023,Wednesday
Cake,1.0,3.0,3.0,Digital Wallet,Takeaway,2023-10-01,10,1,2023,Sunday
Salad,5.0,5.0,25.0,Cash,In-store,2023-05-04,5,4,2023,Thursday
Salad,4.0,5.0,20.0,Cash,In-store,2023-04-26,4,26,2023,Wednesday
Sandwich,4.0,4.0,16.0,Credit Card,Takeaway,2023-08-25,8,25,2023,Friday
Salad,1.0,5.0,5.0,Cash,In-store,2023-05-28,5,28,2023,Sunday
Juice,1.0,3.0,3.0,Digital Wallet,Takeaway,2023-04-30,4,30,2023,Sunday
Salad,1.0,5.0,5.0,Digital Wallet,Takeaway,2023-01-14,1,14,2023,Saturday
Coffee,4.0,2.0,8.0,Digital Wallet,In-store,2023-03-01,3,1,2023,Wednesday
Cake,3.0,3.0,9.0,Credit Card,In-store,2023-11-13,11,13,2023,Monday
Cookie,2.0,1.0,2.0,Digital Wallet,Takeaway,2023-07-09,7,9,2023,Sunday
Salad,2.0,5.0,10.0,Credit Card,Takeaway,2023-05-13,5,13,2023,Saturday
Salad,1.0,5.0,5.0,Digital Wallet,Takeaway,2023-12-27,12,27,2023,Wednesday
Cookie,5.0,1.0,5.0,Digital Wallet,Takeaway,2023-05-18,5,18,2023,Thursday
Smoothie,3.0,4.0,12.0,Digital Wallet,Takeaway,2023-04-04,4,4,2023,Tuesday
Cake,1.0,3.0,3.0,Cash,Takeaway,2023-01-17,1,17,2023,Tuesday
Cake,5.0,3.0,15.0,Digital Wallet,In-store,2023-07-14,7,14,2023,Friday
Salad,1.0,5.0,5.0,Credit Card,Takeaway,2023-03-29,3,29,2023,Wednesday
Cake,4.0,3.0,12.0,Digital Wallet,Takeaway,2023-09-22,9,22,2023,Friday
Tea,3.0,1.5,4.5,Digital Wallet,Takeaway,2023-09-30,9,30,2023,Saturday
Cake,4.0,3.0,12.0,Digital Wallet,Takeaway,2023-08-22,8,22,2023,Tuesday
Smoothie,1.0,4.0,4.0,Credit Card,Takeaway,2023-07-27,7,27,2023,Thursday
Sandwich,1.0,4.0,4.0,Digital Wallet,In-store,2023-12-30,12,30,2023,Saturday
Coffee,4.0,2.0,8.0,Digital Wallet,In-store,2023-12-21,12,21,2023,Thursday
Sandwich,5.0,4.0,20.0,Digital Wallet,In-store,2023-09-28,9,28,2023,Thursday
Salad,3.0,5.0,15.0,Digital Wallet,In-store,2023-11-16,11,16,2023,Thursday
Juice,4.0,3.0,12.0,Digital Wallet,Takeaway,2023-04-14,4,14,2023,Friday
Tea,2.0,1.5,3.0,Cash,In-store,2023-01-03,1,3,2023,Tuesday
Tea,3.0,1.5,4.5,Credit Card,In-store,2023-10-20,10,20,2023,Friday
Coffee,4.0,2.0,8.0,Digital Wallet,Takeaway,2023-01-12,1,12,2023,Thursday
Sandwich,3.0,4.0,12.0,Credit Card,In-store,2023-08-31,8,31,2023,Thursday
Juice,2.0,3.0,6.0,Cash,Takeaway,2023-07-07,7,7,2023,Friday
Tea,5.0,1.5,7.5,Digital Wallet,In-store,2023-09-15,9,15,2023,Friday
Cake,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-10-21,10,21,2023,Saturday
Cake,2.0,3.0,6.0,Credit Card,Takeaway,2023-03-30,3,30,2023,Thursday
Juice,2.0,3.0,6.0,Digital Wallet,Takeaway,2023-09-02,9,2,2023,Saturday
Salad,3.0,5.0,15.0,Cash,In-store,2023-12-13,12,13,2023,Wednesday
Tea,4.0,1.5,6.0,Digital Wallet,In-store,2023-07-14,7,14,2023,Friday
Salad,1.0,5.0,5.0,Cash,In-store,2023-05-10,5,10,2023,Wednesday
Cookie,2.0,1.0,2.0,Digital Wallet,Takeaway,2023-08-19,8,19,2023,Saturday
Smoothie,5.0,4.0,20.0,Credit Card,Takeaway,2023-03-31,3,31,2023,Friday
Sandwich,2.0,4.0,8.0,Cash,Takeaway,2023-01-06,1,6,2023,Friday
Cake,3.0,3.0,9.0,Cash,Takeaway,2023-10-02,10,2,2023,Monday
Sandwich,5.0,4.0,20.0,Digital Wallet,Takeaway,2023-07-10,7,10,2023,Monday
Salad,2.0,5.0,10.0,Cash,Takeaway,2023-10-13,10,13,2023,Friday
Tea,1.0,1.5,1.5,Digital Wallet,In-store,2023-05-29,5,29,2023,Monday
Smoothie,5.0,4.0,20.0,Cash,In-store,2023-07-07,7,7,2023,Friday
Sandwich,1.0,4.0,4.0,Credit Card,Takeaway,2023-05-29,5,29,2023,Monday
Sandwich,4.0,4.0,16.0,Digital Wallet,In-store,2023-11-16,11,16,2023,Thursday
Sandwich,4.0,4.0,16.0,Digital Wallet,In-store,2023-03-13,3,13,2023,Monday
Cake,4.0,3.0,12.0,Digital Wallet,Takeaway,2023-05-22,5,22,2023,Monday
Cake,5.0,3.0,15.0,Digital Wallet,Takeaway,2023-11-23,11,23,2023,Thursday
Juice,4.0,3.0,12.0,Cash,Takeaway,2023-10-15,10,15,2023,Sunday
Smoothie,5.0,4.0,20.0,Credit Card,Takeaway,2023-11-03,11,3,2023,Friday
Sandwich,3.0,4.0,12.0,Cash,Takeaway,2023-06-08,6,8,2023,Thursday
Salad,1.0,5.0,5.0,Cash,Takeaway,2023-11-14,11,14,2023,Tuesday
Cookie,1.0,1.0,1.0,Digital Wallet,In-store,2023-09-12,9,12,2023,Tuesday
Sandwich,4.0,4.0,16.0,Digital Wallet,In-store,2023-11-26,11,26,2023,Sunday
Smoothie,1.0,4.0,4.0,Digital Wallet,Takeaway,2023-10-13,10,13,2023,Friday
Cookie,2.0,1.0,2.0,Digital Wallet,Takeaway,2023-11-03,11,3,2023,Friday
Smoothie,5.0,4.0,20.0,Credit Card,Takeaway,2023-11-13,11,13,2023,Monday
Cake,1.0,3.0,3.0,Cash,Takeaway,2023-12-17,12,17,2023,Sunday
Tea,5.0,1.5,7.5,Digital Wallet,Takeaway,2023-03-13,3,13,2023,Monday
Coffee,2.0,2.0,4.0,Credit Card,Takeaway,2023-05-09,5,9,2023,Tuesday
Smoothie,1.0,4.0,4.0,Credit Card,Takeaway,2023-10-22,10,22,2023,Sunday
Cookie,4.0,1.0,4.0,Credit Card,Takeaway,2023-06-23,6,23,2023,Friday
Cookie,1.0,1.0,1.0,Digital Wallet,Takeaway,2023-06-30,6,30,2023,Friday
Sandwich,5.0,4.0,20.0,Digital Wallet,In-store,2023-05-13,5,13,2023,Saturday
Coffee,4.0,2.0,8.0,Cash,Takeaway,2023-04-25,4,25,2023,Tuesday
Sandwich,3.0,4.0,12.0,Digital Wallet,Takeaway,2023-05-27,5,27,2023,Saturday
Tea,4.0,1.5,6.0,Credit Card,In-store,2023-02-19,2,19,2023,Sunday
Tea,5.0,1.5,7.5,Credit Card,In-store,2023-12-11,12,11,2023,Monday
Smoothie,1.0,4.0,4.0,Digital Wallet,In-store,2023-04-25,4,25,2023,Tuesday
Tea,3.0,1.5,4.5,Digital Wallet,In-store,2023-10-12,10,12,2023,Thursday
Coffee,5.0,2.0,10.0,Digital Wallet,Takeaway,2023-08-30,8,30,2023,Wednesday
Cake,3.0,3.0,9.0,Digital Wallet,Takeaway,2023-10-21,10,21,2023,Saturday
Coffee,3.0,2.0,6.0,Credit Card,Takeaway,2023-11-02,11,2,2023,Thursday
Juice,1.0,3.0,3.0,Cash,Takeaway,2023-09-19,9,19,2023,Tuesday
Cake,3.0,3.0,9.0,Cash,Takeaway,2023-07-04,7,4,2023,Tuesday
Smoothie,1.0,4.0,4.0,Digital Wallet,Takeaway,2023-01-28,1,28,2023,Saturday
Cookie,2.0,1.0,2.0,Cash,In-store,2023-10-04,10,4,2023,Wednesday
Smoothie,3.0,4.0,12.0,Credit Card,In-store,2023-02-26,2,26,2023,Sunday
Coffee,2.0,2.0,4.0,Digital Wallet,Takeaway,2023-01-15,1,15,2023,Sunday
Tea,3.0,1.5,4.5,Digital Wallet,In-store,2023-05-18,5,18,2023,Thursday
Sandwich,3.0,4.0,12.0,Digital Wallet,Takeaway,2023-05-03,5,3,2023,Wednesday
Salad,3.0,5.0,15.0,Cash,Takeaway,2023-11-06,11,6,2023,Monday
Cookie,1.0,1.0,1.0,Digital Wallet,In-store,2023-10-11,10,11,2023,Wednesday
Smoothie,3.0,4.0,12.0,Credit Card,Takeaway,2023-02-25,2,25,2023,Saturday
Smoothie,2.0,4.0,8.0,Digital Wallet,Takeaway,2023-09-10,9,10,2023,Sunday
Smoothie,2.0,4.0,8.0,Digital Wallet,Takeaway,2023-08-11,8,11,2023,Friday
Cookie,1.0,1.0,1.0,Cash,In-store,2023-11-07,11,7,2023,Tuesday
